Voltage,Current
37.3,0
37.3,3.16E-29
37.3,1.51E-14
37.3,1.51E-14
37.29687905,0.01
37.29375504,0.02
37.29062795,0.03
37.28749779,0.04
37.28436453,0.05
37.28122818,0.06
37.27808873,0.07
37.27494616,0.08
37.27180048,0.09
37.26865167,0.1
37.26549973,0.11
37.26234466,0.12
37.25918643,0.13
37.25602505,0.14
37.25286051,0.15
37.24969279,0.16
37.2465219,0.17
37.24334783,0.18
37.24017056,0.19
37.23699009,0.2
37.23380642,0.21
37.23061953,0.22
37.22742941,0.23
37.22423606,0.24
37.22103948,0.25
37.21783964,0.26
37.21463656,0.27
37.21143021,0.28
37.20822058,0.29
37.20500768,0.3
37.2017915,0.31
37.19857202,0.32
37.19534923,0.33
37.19212314,0.34
37.18889373,0.35
37.18566099,0.36
37.18242491,0.37
37.17918549,0.38
37.17594272,0.39
37.17269659,0.4
37.16944709,0.41
37.16619422,0.42
37.16293796,0.43
37.15967831,0.44
37.15641526,0.45
37.15314879,0.46
37.14987891,0.47
37.1466056,0.48
37.14332886,0.49
37.14004867,0.5
37.13676503,0.51
37.13347793,0.52
37.13018736,0.53
37.12689331,0.54
37.12359577,0.55
37.12029474,0.56
37.1169902,0.57
37.11368215,0.58
37.11037057,0.59
37.10705547,0.6
37.10373682,0.61
37.10041463,0.62
37.09708887,0.63
37.09375955,0.64
37.09042666,0.65
37.08709017,0.66
37.0837501,0.67
37.08040642,0.68
37.07705912,0.69
37.07370821,0.7
37.07035366,0.71
37.06699547,0.72
37.06363363,0.73
37.06026814,0.74
37.05689897,0.75
37.05352613,0.76
37.05014959,0.77
37.04676936,0.78
37.04338543,0.79
37.03999777,0.8
37.0366064,0.81
37.03321128,0.82
37.02981242,0.83
37.02640981,0.84
37.02300342,0.85
37.01959327,0.86
37.01617933,0.87
37.01276159,0.88
37.00934006,0.89
37.0059147,0.9
37.00248552,0.91
36.99905251,0.92
36.99561565,0.93
36.99217494,0.94
36.98873036,0.95
36.98528191,0.96
36.98182957,0.97
36.97837334,0.98
36.9749132,0.99
36.97144914,1
36.96798116,1.01
36.96450924,1.02
36.96103337,1.03
36.95755354,1.04
36.95406974,1.05
36.95058197,1.06
36.9470902,1.07
36.94359444,1.08
36.94009466,1.09
36.93659085,1.1
36.93308302,1.11
36.92957114,1.12
36.9260552,1.13
36.9225352,1.14
36.91901112,1.15
36.91548296,1.16
36.91195069,1.17
36.90841431,1.18
36.90487381,1.19
36.90132918,1.2
36.8977804,1.21
36.89422747,1.22
36.89067037,1.23
36.88710909,1.24
36.88354362,1.25
36.87997395,1.26
36.87640007,1.27
36.87282196,1.28
36.86923962,1.29
36.86565302,1.3
36.86206217,1.31
36.85846704,1.32
36.85486764,1.33
36.85126393,1.34
36.84765592,1.35
36.84404359,1.36
36.84042692,1.37
36.83680592,1.38
36.83318055,1.39
36.82955082,1.4
36.82591671,1.41
36.8222782,1.42
36.81863529,1.43
36.81498796,1.44
36.8113362,1.45
36.80768,1.46
36.80401935,1.47
36.80035422,1.48
36.79668462,1.49
36.79301052,1.5
36.78933191,1.51
36.78564879,1.52
36.78196113,1.53
36.77826893,1.54
36.77457217,1.55
36.77087084,1.56
36.76716493,1.57
36.76345442,1.58
36.75973929,1.59
36.75601955,1.6
36.75229516,1.61
36.74856613,1.62
36.74483243,1.63
36.74109405,1.64
36.73735098,1.65
36.73360321,1.66
36.72985071,1.67
36.72609349,1.68
36.72233152,1.69
36.71856478,1.7
36.71479328,1.71
36.71101698,1.72
36.70723588,1.73
36.70344997,1.74
36.69965922,1.75
36.69586363,1.76
36.69206318,1.77
36.68825786,1.78
36.68444764,1.79
36.68063253,1.8
36.67681249,1.81
36.67298753,1.82
36.66915762,1.83
36.66532274,1.84
36.66148289,1.85
36.65763805,1.86
36.6537882,1.87
36.64993333,1.88
36.64607342,1.89
36.64220846,1.9
36.63833843,1.91
36.63446332,1.92
36.63058312,1.93
36.6266978,1.94
36.62280734,1.95
36.61891175,1.96
36.61501099,1.97
36.61110506,1.98
36.60719394,1.99
36.60327761,2
36.59935605,2.01
36.59542926,2.02
36.59149721,2.03
36.58755988,2.04
36.58361727,2.05
36.57966936,2.06
36.57571612,2.07
36.57175754,2.08
36.56779361,2.09
36.56382431,2.1
36.55984962,2.11
36.55586952,2.12
36.55188401,2.13
36.54789305,2.14
36.54389664,2.15
36.53989476,2.16
36.53588739,2.17
36.5318745,2.18
36.5278561,2.19
36.52383215,2.2
36.51980264,2.21
36.51576756,2.22
36.51172688,2.23
36.50768059,2.24
36.50362866,2.25
36.49957109,2.26
36.49550785,2.27
36.49143893,2.28
36.4873643,2.29
36.48328395,2.3
36.47919786,2.31
36.47510602,2.32
36.47100839,2.33
36.46690497,2.34
36.46279574,2.35
36.45868067,2.36
36.45455975,2.37
36.45043296,2.38
36.44630027,2.39
36.44216168,2.4
36.43801716,2.41
36.43386669,2.42
36.42971025,2.43
